Mount Everest,8848,Mahalangur Himalaya
K2,8611,Baltoro Karakoram
Kangchenjunga,8586,Kangchenjunga Himalaya
Lhotse,8516,Mahalangur Himalaya
Makalu,8485,Mahalangur Himalaya
Cho Oyu,8188,Mahalangur Himalaya
Dhaulagiri I,8167,Dhaulagiri Himalaya
Manaslu,8163,Manaslu Himalaya
Nanga Parbat,8126,Nanga Parbat Himalaya
Annapurna I,8091,Annapurna Himalaya
Gasherbrum I/,8080,Baltoro Karakoram
Broad Peak/K3,8051,Baltoro Karakoram
Gasherbrum II/K4,8034,Baltoro Karakoram
Shishapangma,8027,Jugal Himalaya
Gyachung Kang,7952,Mahalangur Himalaya
Gasherbrum III,7946,Baltoro Karakoram
Annapurna II,7937,Annapurna Himalaya
Gasherbrum IV,7932,Baltoro Karakoram
Himalchuli,7893,Manaslu Himalaya
Distaghil Sar,7884,Hispar Karakoram
Ngadi Chuli,7871,Manaslu Himalaya
Nuptse,7864,Mahalangur Himalaya
Khunyang Chhish,7823,Hispar Karakoram
Masherbrum/K1,7821,Masherbrum Karakoram
Nanda Devi,7816,Garhwal Himalaya
Chomo Lonzo,7804,Mahalangur Himalaya
Batura Sar,7795,Batura Karakoram
Kanjut Sar,7790,Hispar Karakoram
Rakaposhi,7788,Rakaposhi-Haramosh Karakoram
Namcha Barwa,7782,Assam Himalaya
Kamet,7756,Garhwal Himalaya
Dhaulagiri II,7751,Dhaulagiri Himalaya
Saltoro Kangri/K10,7742,Saltoro Karakoram
Jannu,7711,Kangchenjunga Himalaya
Tirich Mir,7708,Hindu Kush
Molamenqing,7703,Langtang Himalaya
Gurla Mandhata,7694,Nalakankar Himalaya
Saser Kangri I/K22,7672,Saser Karakoram
Chogolisa,7665,Masherbrum Karakoram
Dhaulagiri IV,7661,Dhaulagiri Himalaya
Kongur Tagh,7649,Kongur Shan Kunlun
Dhaulagiri V,7618,Dhaulagiri Himalaya
Shispare,7611,Batura Karakoram
Trivor,7577,Hispar Karakoram
Gangkhar Puensum,7570,Kula Kangri Himalaya
Gongga Shan/,7556,Daxue Shan
Annapurna III,7555,Annapurna Himalaya
Muztagh Ata,7546,Muztagata Kunlun
Skyang Kangri,7545,Baltoro Karakoram
Changtse,7543,Mahalangur Himalaya
Kula Kangri,7538,Kula Kangri Himalaya
Kongur Tiube,7530,Kongur Shan Kunlun
Mamostong Kangri,7516,Rimo Karakoram
Saser Kangri II E,7513,Saser Karakoram
Ismoil Somoni Peak,7495,Pamir (Akademiya Nauk Range)
Saser Kangri III,7495,Saser Karakoram
Noshaq,7492,Hindu Kush
Pumari Chhish,7492,Hispar Karakoram
Pasu Sar,7476,Batura Karakoram
Yukshin Gardan Sar,7469,Hispar Karakoram
Teram Kangri I,7462,Siachen Karakoram
Jongsong Peak,7462,Kangchenjunga Himalaya
Malubiting,7458,Rakaposhi-Haramosh Karakoram
Gangapurna,7455,Annapurna Himalaya
Jengish Chokusu/,7439,Tian Shan
K12,7428,Saltoro Karakoram
Yangra/,7422,Ganesh Himalaya
Sia Kangri,7422,Siachen Karakoram
Momhil Sar,7414,Hispar Karakoram
Kabru N,7412,Kangchenjunga Himalaya
Skil Brum,7410,Baltoro Karakoram
Haramosh,7409,Rakaposhi Karakoram
Istor-o-Nal,7403,Hindu Kush
Ghent Kangri,7401,Saltoro Karakoram
Ultar Sar,7388,Batura Karakoram
Rimo I,7385,Rimo Karakoram
Churen Himal,7385,Dhaulagiri Himalaya
Teram Kangri III,7382,Siachen Karakoram
Sherpi Kangri,7380,Saltoro Karakoram
Labuche Kang,7367,Labuche Himalaya
Kirat Chuli,7362,Kangchenjunga Himalaya
Abi Gamin,7355,Garhwal Himalaya
Nangpai Gosum,7350,Mahalangur Himalaya
Gimmigela/,7350,Kangchenjunga Himalaya
Saraghrar,7349,Hindu Kush
Jomolhari,7326,Jomolhari Himalaya
Chamlang,7321,Mahalangur Himalaya
Chongtar,7315,Baltoro Karakoram
Baltoro Kangri,7312,Masherbrum Karakoram
Siguang Ri,7309,Mahalangur Himalaya
The Crown/,7295,Yengisogat Karakoram
Gyala Peri,7294,Assam Himalaya
Porong Ri,7292,Langtang Himalaya
Baintha Brakk/,7285,Panmah Karakoram
Yutmaru Sar,7283,Hispar Karakoram
Baltistan Peak/K6,7282,Masherbrum Karakoram
Kangpenqing/,7281,Baiku Himalaya
Muztagh Tower,7276,Baltoro Karakoram
Mana,7272,Garhwal Himalaya
Dhaulagiri VI,7268,Dhaulagiri Himalaya
Diran,7266,Rakaposhi-Haramosh Karakoram
Labuche Kang III/East,7250,Labuche Himalaya
Putha Hiunchuli,7246,Dhaulagiri Himalaya
Apsarasas Kangri,7245,Siachen Karakoram
Mukut Parbat,7242,Garhwal Himalaya
Rimo III,7233,Rimo Karakoram
Langtang Lirung,7227,Langtang Himalaya
Karjiang,7221,Kula Kangri Himalaya
Annapurna Dakshin,7219,Annapurna Himalaya
Khartaphu,7213,Mahalangur Himalaya
Tongshanjiabu,7207,Lunana Himalaya
Malangutti Sar,7207,Hispar Karakoram
Noijin Kangsang/,7206,Nagarze Himalaya
Langtang Ri,7205,Langtang Himalaya
Kangphu Kang,7204,Lunana Himalaya
Singhi Kangri,7202,Siachen Karakoram
Lupghar Sar,7200,Hispar Karakoram
